"";"Gender";"Ever_Married";"Age";"Graduated";"Profession";"Work_Experience";"Spending_Score";"Family_Size";"Var_1";"Segmentation"
"2532";"Female";"Yes";88;"Yes";"Lawyer";1;"High";2;"Cat_6";"A"
"2534";"Female";"No";41;"Yes";"Artist";1;"Low";2;"Cat_6";"C"
"2536";"Male";"Yes";45;"Yes";"Artist";7;"Average";5;"Cat_6";"B"
"2537";"Male";"Yes";41;"No";"Entertainment";0;"Low";4;"Cat_6";"A"
"2538";"Male";"Yes";75;"Yes";"Lawyer";0;"High";2;"Cat_6";"C"
"2539";"Male";"No";39;"Yes";"Entertainment";9;"Low";2;"Cat_6";"A"
"2540";"Female";"Yes";89;"No";"Lawyer";0;"High";2;"Cat_6";"A"
"2541";"Male";"Yes";45;"Yes";"Doctor";0;"Low";1;"Cat_6";"A"
"2542";"Female";"Yes";50;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"2543";"Male";"Yes";43;"No";"Healthcare";6;"High";2;"Cat_7";"B"
"2544";"Male";"Yes";50;"Yes";"Executive";4;"Average";4;"Cat_2";"B"
"2548";"Male";"Yes";76;"Yes";"Lawyer";1;"Low";1;"Cat_3";"D"
"2550";"Male";"Yes";41;"Yes";"Artist";1;"Low";2;"Cat_6";"A"
"2551";"Male";"Yes";50;"Yes";"Entertainment";3;"Low";2;"Cat_6";"A"
"2552";"Male";"Yes";56;"Yes";"Executive";8;"High";5;"Cat_6";"C"
"2553";"Male";"Yes";28;"No";"Entertainment";0;"Average";2;"Cat_4";"A"
"2555";"Female";"Yes";72;"Yes";"Doctor";1;"Average";2;"Cat_6";"A"
"2557";"Male";"No";28;"No";"Artist";0;"Low";2;"Cat_6";"A"
"2558";"Female";"Yes";27;"Yes";"Artist";8;"Average";2;"Cat_6";"C"
"2559";"Female";"No";32;"No";"Healthcare";2;"Low";4;"Cat_4";"D"
"2560";"Female";"No";20;"No";"Doctor";9;"Low";4;"Cat_6";"A"
"2561";"Male";"Yes";45;"Yes";"Executive";1;"Low";5;"Cat_6";"B"
"2562";"Male";"No";59;"Yes";"Artist";1;"Low";2;"Cat_6";"C"
"2563";"Female";"No";46;"Yes";"Marketing";1;"Low";1;"Cat_6";"D"
"2564";"Male";"Yes";46;"Yes";"Artist";1;"Average";3;"Cat_6";"C"
"2565";"Male";"No";41;"Yes";"Artist";9;"Low";2;"Cat_6";"A"
"2566";"Male";"Yes";70;"Yes";"Lawyer";1;"High";2;"Cat_6";"B"
"2568";"Male";"Yes";42;"Yes";"Artist";9;"Average";3;"Cat_6";"B"
"2569";"Female";"Yes";60;"No";"Engineer";1;"High";9;"Cat_4";"A"
"2570";"Male";"No";37;"Yes";"Engineer";9;"Low";1;"Cat_6";"D"
"2571";"Male";"No";18;"No";"Healthcare";0;"Low";7;"Cat_3";"D"
"2572";"Male";"Yes";52;"Yes";"Artist";1;"Average";3;"Cat_6";"C"
"2573";"Female";"No";32;"No";"Artist";2;"Low";4;"Cat_2";"A"
"2574";"Male";"Yes";74;"No";"Lawyer";8;"Low";1;"Cat_6";"A"
"2575";"Male";"Yes";29;"Yes";"Healthcare";1;"Average";2;"Cat_6";"A"
"2576";"Male";"Yes";37;"Yes";"Entertainment";0;"Average";3;"Cat_6";"C"
"2577";"Male";"Yes";45;"No";"Entertainment";1;"Average";3;"Cat_6";"B"
"2578";"Male";"No";22;"No";"Healthcare";1;"Low";4;"Cat_6";"D"
"2580";"Female";"Yes";51;"Yes";"Artist";8;"Average";2;"Cat_6";"B"
"2581";"Male";"Yes";59;"Yes";"Artist";0;"Average";2;"Cat_6";"C"
"2582";"Male";"Yes";55;"Yes";"Artist";1;"Average";2;"Cat_7";"A"
"2583";"Male";"No";22;"No";"Healthcare";2;"Low";3;"Cat_4";"D"
"2585";"Female";"Yes";84;"No";"Lawyer";0;"High";2;"Cat_6";"B"
"2587";"Male";"Yes";50;"Yes";"Entertainment";0;"Average";3;"Cat_6";"C"
"2588";"Male";"Yes";73;"Yes";"Artist";5;"High";3;"Cat_6";"C"
"2589";"Female";"No";23;"No";"Engineer";1;"Low";4;"Cat_6";"B"
"2591";"Female";"No";21;"Yes";"Healthcare";0;"Low";5;"Cat_2";"D"
"2592";"Male";"No";18;"No";"Healthcare";1;"Low";4;"Cat_6";"D"
"2593";"Male";"Yes";46;"Yes";"Artist";0;"Average";3;"Cat_6";"B"
"2594";"Male";"No";32;"Yes";"Entertainment";9;"Low";2;"Cat_6";"D"
"2595";"Female";"No";36;"Yes";"Healthcare";6;"Low";3;"Cat_2";"D"
"2596";"Male";"Yes";37;"No";"Doctor";9;"Low";2;"Cat_6";"D"
"2597";"Male";"No";42;"Yes";"Entertainment";1;"Low";1;"Cat_7";"A"
"2599";"Female";"Yes";42;"Yes";"Healthcare";9;"Average";2;"Cat_6";"D"
"2600";"Female";"No";33;"No";"Homemaker";9;"Low";1;"Cat_6";"D"
"2602";"Female";"Yes";59;"Yes";"Artist";0;"Average";5;"Cat_6";"C"
"2603";"Male";"Yes";70;"Yes";"Artist";1;"Low";1;"Cat_6";"B"
"2604";"Male";"Yes";53;"No";"Entertainment";1;"Low";1;"Cat_6";"A"
"2605";"Female";"Yes";80;"No";"Lawyer";1;"High";2;"Cat_6";"D"
"2607";"Male";"Yes";39;"Yes";"Artist";0;"Average";2;"Cat_2";"C"
"2609";"Female";"Yes";58;"Yes";"Artist";0;"Average";5;"Cat_6";"C"
"2610";"Female";"No";30;"No";"Homemaker";8;"Low";9;"Cat_4";"A"
"2611";"Female";"No";23;"No";"Healthcare";0;"Low";3;"Cat_6";"D"
"2612";"Male";"Yes";59;"Yes";"Artist";9;"Average";4;"Cat_6";"C"
"2613";"Female";"Yes";56;"Yes";"Doctor";0;"Low";2;"Cat_6";"D"
"2614";"Female";"Yes";40;"Yes";"Artist";8;"Low";1;"Cat_6";"B"
"2615";"Female";"Yes";68;"Yes";"Artist";1;"Low";2;"Cat_6";"A"
"2616";"Male";"No";29;"Yes";"Artist";1;"Low";6;"Cat_6";"A"
"2617";"Female";"Yes";55;"Yes";"Artist";1;"Average";3;"Cat_6";"C"
"2618";"Male";"No";21;"No";"Healthcare";1;"Low";4;"Cat_6";"D"
"2619";"Female";"No";19;"No";"Engineer";1;"Low";4;"Cat_6";"D"
"2620";"Female";"Yes";41;"No";"Healthcare";1;"Average";4;"Cat_6";"D"
"2621";"Male";"No";41;"Yes";"Artist";4;"Low";1;"Cat_3";"A"
"2622";"Male";"No";33;"No";"Doctor";1;"Low";2;"Cat_3";"C"
"2624";"Male";"No";41;"Yes";"Artist";6;"Low";1;"Cat_3";"B"
"2625";"Male";"Yes";35;"Yes";"Executive";0;"High";4;"Cat_6";"A"
"2626";"Male";"Yes";41;"Yes";"Entertainment";9;"Average";2;"Cat_6";"B"
"2628";"Male";"No";26;"No";"Healthcare";0;"Low";3;"Cat_6";"D"
"2629";"Male";"Yes";42;"No";"Executive";3;"High";5;"Cat_6";"B"
"2630";"Female";"Yes";53;"Yes";"Artist";0;"Average";2;"Cat_6";"C"
"2631";"Female";"Yes";33;"Yes";"Entertainment";3;"Average";3;"Cat_4";"D"
"2632";"Male";"Yes";39;"Yes";"Artist";0;"Low";2;"Cat_6";"C"
"2634";"Female";"No";25;"No";"Artist";6;"Low";3;"Cat_6";"C"
"2635";"Male";"No";40;"Yes";"Entertainment";0;"Low";2;"Cat_2";"A"
"2636";"Female";"No";22;"No";"Healthcare";0;"Low";4;"Cat_3";"D"
"2637";"Female";"Yes";37;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"2638";"Female";"Yes";65;"Yes";"Artist";0;"Low";2;"Cat_6";"B"
"2639";"Male";"Yes";49;"Yes";"Artist";0;"Average";2;"Cat_6";"C"
"2640";"Female";"Yes";38;"Yes";"Engineer";1;"Low";2;"Cat_6";"C"
"2641";"Female";"Yes";65;"Yes";"Artist";0;"Average";2;"Cat_6";"C"
"2643";"Male";"Yes";52;"Yes";"Entertainment";1;"Low";4;"Cat_2";"C"
"2644";"Male";"Yes";73;"Yes";"Lawyer";2;"Low";1;"Cat_6";"D"
"2645";"Female";"No";48;"Yes";"Engineer";1;"Low";1;"Cat_6";"B"
"2646";"Male";"No";25;"Yes";"Doctor";8;"Low";2;"Cat_6";"D"
"2647";"Male";"No";31;"Yes";"Healthcare";9;"Low";3;"Cat_7";"D"
"2648";"Male";"No";25;"No";"Entertainment";8;"Low";9;"Cat_6";"C"
"2650";"Male";"No";20;"No";"Healthcare";0;"Low";4;"Cat_6";"D"
"2651";"Male";"No";25;"No";"Executive";0;"Low";3;"Cat_6";"A"
"2652";"Male";"Yes";25;"Yes";"Artist";8;"Low";2;"Cat_7";"A"
"2653";"Male";"No";29;"No";"Entertainment";1;"Low";3;"Cat_6";"B"
"2654";"Female";"Yes";72;"No";"Entertainment";7;"Average";3;"Cat_6";"B"
"2655";"Male";"Yes";48;"Yes";"Artist";0;"High";2;"Cat_6";"B"
"2656";"Male";"No";28;"No";"Doctor";1;"Low";5;"Cat_2";"D"
"2657";"Female";"Yes";42;"Yes";"Artist";3;"High";3;"Cat_2";"C"
"2658";"Female";"Yes";32;"Yes";"Artist";8;"Low";3;"Cat_6";"A"
"2659";"Male";"Yes";49;"Yes";"Artist";0;"Low";1;"Cat_6";"B"
"2660";"Female";"Yes";55;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"2661";"Female";"Yes";40;"Yes";"Artist";0;"Average";3;"Cat_6";"A"
"2662";"Female";"No";37;"Yes";"Doctor";0;"Low";3;"Cat_6";"A"
"2663";"Male";"No";27;"No";"Healthcare";3;"Low";4;"Cat_6";"D"
"2664";"Female";"Yes";32;"Yes";"Homemaker";4;"High";2;"Cat_3";"B"
"2665";"Male";"Yes";36;"No";"Executive";7;"High";4;"Cat_6";"A"
"2668";"Male";"No";18;"No";"Entertainment";1;"Low";4;"Cat_6";"D"
"2669";"Female";"No";36;"Yes";"Artist";1;"Low";1;"Cat_4";"B"
"2671";"Female";"Yes";88;"Yes";"Lawyer";1;"High";2;"Cat_6";"C"
"2674";"Male";"Yes";51;"Yes";"Artist";8;"Low";3;"Cat_2";"A"
"2675";"Male";"Yes";51;"Yes";"Entertainment";1;"Average";4;"Cat_6";"B"
"2676";"Male";"No";31;"No";"Artist";3;"Low";2;"Cat_6";"A"
"2677";"Female";"Yes";47;"Yes";"Artist";1;"Average";3;"Cat_6";"C"
"2680";"Male";"No";29;"Yes";"Healthcare";0;"Low";6;"Cat_6";"D"
"2683";"Male";"Yes";68;"No";"Entertainment";4;"Average";2;"Cat_6";"A"
"2685";"Male";"No";32;"Yes";"Doctor";0;"Low";4;"Cat_3";"D"
"2686";"Male";"Yes";75;"Yes";"Lawyer";1;"Low";1;"Cat_6";"A"
"2687";"Female";"No";39;"Yes";"Healthcare";0;"Low";1;"Cat_6";"A"
"2688";"Male";"No";18;"No";"Healthcare";1;"Low";3;"Cat_6";"D"
"2689";"Female";"Yes";42;"Yes";"Artist";2;"Average";2;"Cat_6";"B"
"2690";"Male";"Yes";48;"Yes";"Executive";0;"Average";4;"Cat_4";"A"
"2691";"Female";"Yes";70;"Yes";"Artist";0;"High";2;"Cat_6";"C"
"2692";"Male";"Yes";45;"Yes";"Artist";1;"Average";2;"Cat_6";"B"
"2693";"Female";"No";29;"Yes";"Healthcare";0;"Low";4;"Cat_6";"A"
"2694";"Male";"Yes";50;"Yes";"Entertainment";1;"Average";3;"Cat_6";"C"
"2695";"Female";"No";22;"No";"Healthcare";0;"Low";6;"Cat_4";"D"
"2696";"Male";"Yes";46;"Yes";"Artist";0;"Low";2;"Cat_6";"C"
"2698";"Female";"Yes";81;"Yes";"Lawyer";8;"High";2;"Cat_6";"C"
"2699";"Female";"Yes";49;"Yes";"Artist";1;"Average";3;"Cat_6";"C"
"2701";"Male";"Yes";66;"Yes";"Artist";1;"High";2;"Cat_6";"B"
"2703";"Female";"No";29;"Yes";"Artist";12;"Low";1;"Cat_6";"A"
"2704";"Female";"Yes";86;"Yes";"Lawyer";0;"High";2;"Cat_6";"C"
"2705";"Male";"Yes";70;"Yes";"Artist";1;"Average";3;"Cat_6";"C"
"2706";"Female";"Yes";36;"Yes";"Artist";1;"Average";2;"Cat_6";"B"
"2707";"Male";"No";35;"Yes";"Artist";1;"Low";2;"Cat_3";"A"
"2708";"Female";"Yes";42;"Yes";"Artist";0;"High";2;"Cat_2";"C"
"2710";"Female";"No";20;"No";"Artist";0;"Low";3;"Cat_6";"D"
"2711";"Female";"Yes";27;"No";"Engineer";1;"Average";9;"Cat_3";"D"
"2712";"Male";"Yes";56;"Yes";"Artist";4;"Low";1;"Cat_6";"B"
"2713";"Male";"Yes";67;"No";"Artist";1;"Low";1;"Cat_6";"B"
"2714";"Female";"Yes";51;"Yes";"Artist";0;"Low";1;"Cat_6";"B"
"2715";"Male";"Yes";49;"Yes";"Artist";1;"Average";3;"Cat_6";"C"
"2716";"Male";"Yes";51;"No";"Artist";1;"Low";3;"Cat_3";"A"
"2717";"Female";"No";26;"Yes";"Artist";1;"Low";9;"Cat_6";"C"
"2719";"Female";"Yes";31;"Yes";"Entertainment";1;"Low";1;"Cat_6";"A"
"2720";"Male";"Yes";43;"No";"Executive";1;"High";3;"Cat_4";"A"
"2721";"Male";"Yes";59;"No";"Executive";7;"Average";5;"Cat_6";"B"
"2722";"Female";"No";35;"Yes";"Engineer";4;"Low";1;"Cat_6";"A"
"2724";"Female";"No";48;"Yes";"Entertainment";9;"Low";2;"Cat_6";"A"
"2725";"Female";"Yes";88;"Yes";"Lawyer";1;"High";2;"Cat_6";"B"
"2726";"Female";"No";30;"Yes";"Healthcare";12;"Low";6;"Cat_6";"D"
"2727";"Female";"No";22;"No";"Healthcare";6;"Low";3;"Cat_3";"D"
"2728";"Male";"Yes";66;"Yes";"Artist";1;"High";2;"Cat_6";"C"
"2729";"Female";"Yes";81;"No";"Engineer";0;"High";2;"Cat_6";"B"
"2730";"Female";"Yes";36;"No";"Doctor";14;"Average";2;"Cat_6";"A"
"2732";"Female";"No";50;"Yes";"Engineer";1;"Low";1;"Cat_6";"B"
"2733";"Male";"Yes";51;"Yes";"Artist";1;"Low";2;"Cat_7";"B"
"2734";"Male";"Yes";66;"Yes";"Lawyer";0;"High";3;"Cat_6";"A"
"2735";"Female";"Yes";39;"Yes";"Engineer";8;"Average";2;"Cat_6";"C"
"2736";"Female";"No";28;"No";"Entertainment";0;"Low";5;"Cat_2";"D"
"2738";"Female";"Yes";50;"Yes";"Artist";1;"Low";1;"Cat_6";"A"
"2740";"Male";"Yes";60;"Yes";"Marketing";1;"High";5;"Cat_6";"C"
"2741";"Male";"Yes";52;"No";"Entertainment";1;"Average";4;"Cat_3";"B"
"2742";"Male";"Yes";32;"No";"Marketing";4;"Low";3;"Cat_6";"D"
"2743";"Female";"Yes";42;"Yes";"Doctor";0;"Low";1;"Cat_4";"B"
"2744";"Male";"No";48;"Yes";"Entertainment";1;"Low";2;"Cat_6";"D"
"2746";"Male";"No";26;"Yes";"Homemaker";8;"Low";2;"Cat_6";"A"
"2747";"Female";"No";21;"No";"Healthcare";0;"Low";7;"Cat_3";"D"
"2748";"Female";"No";53;"No";"Artist";7;"Low";1;"Cat_6";"C"
"2749";"Male";"No";32;"Yes";"Doctor";0;"Low";3;"Cat_6";"D"
"2750";"Female";"Yes";56;"Yes";"Doctor";1;"Average";2;"Cat_3";"C"
"2751";"Female";"No";36;"Yes";"Artist";8;"Low";4;"Cat_3";"D"
"2752";"Male";"Yes";83;"Yes";"Lawyer";0;"Low";2;"Cat_6";"B"
"2753";"Male";"Yes";42;"Yes";"Executive";1;"Low";2;"Cat_6";"D"
"2755";"Male";"Yes";62;"Yes";"Executive";0;"High";2;"Cat_6";"B"
"2756";"Male";"Yes";40;"No";"Executive";0;"Low";4;"Cat_4";"D"
"2757";"Male";"No";38;"Yes";"Artist";2;"Low";1;"Cat_4";"D"
"2758";"Male";"No";18;"No";"Healthcare";1;"Low";5;"Cat_4";"D"
"2759";"Female";"Yes";62;"Yes";"Artist";3;"Low";2;"Cat_6";"C"
"2760";"Male";"No";23;"No";"Healthcare";1;"Low";4;"Cat_6";"D"
"2762";"Male";"No";42;"Yes";"Artist";8;"Low";1;"Cat_6";"A"
"2763";"Female";"No";32;"No";"Marketing";0;"Low";4;"Cat_6";"A"
"2764";"Female";"No";28;"No";"Marketing";0;"Low";5;"Cat_4";"A"
"2766";"Male";"Yes";35;"Yes";"Executive";8;"High";4;"Cat_6";"C"
"2768";"Female";"No";53;"Yes";"Engineer";1;"Low";2;"Cat_6";"A"
"2771";"Male";"Yes";52;"Yes";"Executive";1;"High";4;"Cat_6";"B"
"2772";"Male";"No";29;"Yes";"Doctor";3;"Low";3;"Cat_4";"A"
"2773";"Male";"No";36;"Yes";"Artist";6;"Low";3;"Cat_2";"B"
"2774";"Female";"No";41;"Yes";"Artist";0;"Low";1;"Cat_6";"A"
"2775";"Male";"Yes";72;"Yes";"Executive";0;"High";4;"Cat_6";"C"
"2776";"Female";"Yes";50;"Yes";"Engineer";1;"Low";2;"Cat_6";"A"
"2777";"Female";"Yes";79;"Yes";"Lawyer";0;"High";2;"Cat_6";"C"
"2778";"Female";"No";23;"No";"Marketing";4;"Low";4;"Cat_6";"D"
"2779";"Female";"No";25;"Yes";"Healthcare";0;"Low";1;"Cat_6";"D"
"2780";"Female";"No";40;"Yes";"Doctor";1;"Low";1;"Cat_6";"B"
"2781";"Male";"Yes";27;"Yes";"Healthcare";2;"Average";2;"Cat_3";"A"
"2782";"Female";"Yes";62;"Yes";"Artist";4;"Average";7;"Cat_7";"A"
"2783";"Male";"Yes";29;"Yes";"Healthcare";2;"Average";2;"Cat_2";"B"
"2784";"Female";"No";31;"No";"Doctor";6;"Low";2;"Cat_3";"A"
"2786";"Male";"No";28;"Yes";"Healthcare";1;"Low";4;"Cat_6";"C"
"2787";"Female";"No";26;"Yes";"Artist";1;"Low";5;"Cat_6";"A"
"2788";"Female";"No";33;"No";"Healthcare";1;"Low";3;"Cat_6";"B"
"2791";"Female";"No";43;"Yes";"Marketing";1;"Low";1;"Cat_6";"D"
"2792";"Female";"Yes";50;"Yes";"Entertainment";0;"Average";4;"Cat_2";"B"
"2793";"Female";"No";29;"Yes";"Artist";14;"Low";2;"Cat_6";"B"
"2794";"Male";"No";29;"No";"Engineer";0;"Low";5;"Cat_3";"A"
"2796";"Female";"Yes";37;"Yes";"Artist";5;"Low";2;"Cat_6";"D"
"2797";"Female";"Yes";75;"Yes";"Lawyer";2;"High";4;"Cat_6";"B"
"2798";"Male";"No";19;"No";"Entertainment";0;"Low";6;"Cat_4";"A"
"2799";"Female";"No";42;"Yes";"Artist";1;"Low";1;"Cat_3";"B"
"2801";"Female";"Yes";28;"Yes";"Doctor";0;"Average";2;"Cat_2";"A"
"2802";"Male";"Yes";45;"Yes";"Artist";0;"Average";4;"Cat_6";"B"
"2804";"Male";"No";40;"No";"Entertainment";1;"Low";1;"Cat_4";"A"
"2805";"Male";"No";42;"Yes";"Artist";12;"Low";1;"Cat_3";"A"
"2806";"Female";"No";49;"Yes";"Artist";3;"Low";1;"Cat_6";"C"
"2808";"Male";"Yes";46;"No";"Entertainment";8;"Low";2;"Cat_6";"D"
"2809";"Male";"Yes";29;"Yes";"Artist";1;"Average";3;"Cat_3";"B"
"2810";"Female";"Yes";72;"Yes";"Lawyer";0;"High";2;"Cat_6";"A"
"2811";"Male";"No";26;"Yes";"Healthcare";0;"Low";3;"Cat_3";"C"
"2812";"Female";"Yes";50;"Yes";"Engineer";2;"Average";3;"Cat_6";"C"
"2813";"Male";"No";33;"Yes";"Doctor";0;"Low";3;"Cat_6";"C"
"2815";"Female";"Yes";35;"Yes";"Artist";7;"Average";2;"Cat_6";"C"
"2816";"Female";"Yes";51;"Yes";"Artist";1;"Average";6;"Cat_6";"C"
"2817";"Male";"Yes";52;"Yes";"Entertainment";0;"Average";6;"Cat_4";"C"
"2818";"Male";"No";20;"No";"Entertainment";5;"Low";2;"Cat_6";"D"
"2819";"Male";"No";33;"No";"Marketing";1;"Low";6;"Cat_4";"D"
"2820";"Male";"Yes";58;"Yes";"Artist";0;"Average";3;"Cat_3";"C"
"2822";"Female";"Yes";38;"Yes";"Doctor";1;"Low";4;"Cat_3";"A"
"2823";"Female";"No";27;"No";"Healthcare";14;"Low";1;"Cat_6";"D"
"2824";"Male";"Yes";43;"Yes";"Entertainment";8;"Low";2;"Cat_6";"B"
"2825";"Female";"No";18;"No";"Healthcare";0;"Low";5;"Cat_6";"D"
"2826";"Female";"No";29;"No";"Healthcare";0;"Low";3;"Cat_6";"D"
"2827";"Male";"Yes";86;"No";"Lawyer";2;"Average";2;"Cat_6";"A"
"2828";"Male";"No";32;"No";"Healthcare";7;"Low";5;"Cat_3";"D"
"2829";"Female";"Yes";52;"No";"Engineer";0;"Low";6;"Cat_4";"A"
"2830";"Male";"Yes";53;"Yes";"Artist";1;"Average";4;"Cat_6";"C"
"2831";"Male";"No";29;"No";"Healthcare";9;"Low";3;"Cat_3";"D"
"2832";"Male";"Yes";58;"Yes";"Artist";2;"Low";1;"Cat_6";"A"
"2835";"Female";"Yes";39;"Yes";"Artist";0;"Average";4;"Cat_6";"C"
"2836";"Male";"Yes";40;"Yes";"Engineer";12;"Average";3;"Cat_6";"A"
"2837";"Female";"No";23;"No";"Healthcare";3;"Low";5;"Cat_6";"D"
"2838";"Female";"Yes";79;"Yes";"Lawyer";14;"High";3;"Cat_6";"C"
"2839";"Female";"Yes";70;"Yes";"Lawyer";0;"High";2;"Cat_6";"B"
"2840";"Female";"No";27;"No";"Artist";0;"Low";6;"Cat_6";"D"
"2841";"Male";"Yes";47;"No";"Executive";1;"High";2;"Cat_3";"B"
"2842";"Male";"Yes";58;"Yes";"Executive";3;"Average";4;"Cat_3";"B"
"2844";"Male";"Yes";40;"No";"Engineer";6;"Average";5;"Cat_4";"D"
"2845";"Male";"Yes";35;"Yes";"Executive";1;"Average";2;"Cat_6";"A"
"2846";"Male";"Yes";31;"Yes";"Healthcare";0;"Low";2;"Cat_6";"C"
"2847";"Female";"Yes";43;"Yes";"Artist";1;"High";4;"Cat_3";"C"
"2848";"Male";"No";21;"No";"Doctor";4;"Low";3;"Cat_2";"D"
"2849";"Female";"No";29;"Yes";"Artist";1;"Low";3;"Cat_6";"C"
"2850";"Female";"No";18;"No";"Healthcare";1;"Low";3;"Cat_6";"D"
"2851";"Male";"No";28;"Yes";"Artist";0;"Low";3;"Cat_4";"B"
"2852";"Female";"No";27;"Yes";"Healthcare";0;"Low";4;"Cat_6";"C"
"2853";"Female";"Yes";47;"Yes";"Doctor";8;"Average";2;"Cat_6";"C"
"2854";"Male";"Yes";52;"Yes";"Marketing";1;"High";4;"Cat_6";"C"
"2855";"Female";"No";42;"No";"Marketing";5;"Low";2;"Cat_6";"D"
"2856";"Female";"Yes";57;"Yes";"Artist";2;"High";3;"Cat_6";"C"
"2857";"Male";"Yes";61;"Yes";"Executive";0;"High";2;"Cat_6";"C"
"2858";"Male";"No";33;"Yes";"Artist";0;"Low";3;"Cat_4";"C"
"2859";"Female";"Yes";41;"Yes";"Artist";11;"Average";4;"Cat_6";"C"
"2860";"Female";"No";39;"Yes";"Doctor";9;"Low";3;"Cat_6";"A"
"2861";"Male";"No";40;"Yes";"Doctor";4;"Low";2;"Cat_6";"C"
"2862";"Female";"Yes";52;"Yes";"Artist";1;"Low";3;"Cat_2";"C"
"2865";"Male";"No";43;"Yes";"Artist";0;"Low";1;"Cat_3";"A"
"2866";"Female";"No";51;"Yes";"Artist";0;"Low";1;"Cat_6";"B"
"2867";"Female";"Yes";36;"Yes";"Entertainment";6;"Low";2;"Cat_6";"B"
"2868";"Male";"Yes";38;"Yes";"Entertainment";8;"Low";2;"Cat_3";"B"
"2869";"Female";"No";30;"Yes";"Artist";0;"Low";5;"Cat_2";"A"
"2870";"Male";"No";39;"Yes";"Marketing";1;"Low";4;"Cat_3";"D"
"2871";"Female";"No";46;"Yes";"Entertainment";1;"Low";2;"Cat_6";"A"
"2872";"Male";"Yes";43;"No";"Executive";3;"High";4;"Cat_6";"B"
"2873";"Male";"Yes";70;"Yes";"Lawyer";0;"High";2;"Cat_6";"B"
"2874";"Female";"Yes";41;"Yes";"Entertainment";9;"Low";1;"Cat_7";"D"
"2875";"Female";"Yes";39;"Yes";"Engineer";1;"Low";1;"Cat_3";"A"
"2876";"Female";"No";51;"Yes";"Artist";0;"Low";2;"Cat_6";"C"
"2877";"Male";"No";20;"No";"Healthcare";1;"Low";4;"Cat_6";"D"
"2879";"Male";"No";26;"Yes";"Marketing";10;"Low";1;"Cat_6";"D"
"2880";"Male";"No";31;"No";"Marketing";4;"Low";1;"Cat_3";"D"
"2881";"Female";"No";33;"Yes";"Healthcare";0;"Low";3;"Cat_4";"B"
"2884";"Female";"Yes";70;"Yes";"Engineer";0;"High";2;"Cat_6";"B"
"2887";"Female";"No";71;"No";"Engineer";1;"Low";1;"Cat_4";"A"
"2888";"Male";"Yes";29;"Yes";"Engineer";5;"Low";2;"Cat_4";"A"
"2889";"Female";"No";41;"No";"Marketing";1;"Low";1;"Cat_6";"D"
"2890";"Male";"Yes";55;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"2891";"Male";"No";29;"No";"Entertainment";1;"Low";4;"Cat_4";"C"
"2892";"Male";"Yes";76;"Yes";"Lawyer";1;"Low";1;"Cat_6";"A"
"2894";"Female";"No";18;"No";"Healthcare";7;"Low";3;"Cat_4";"D"
"2895";"Female";"Yes";49;"Yes";"Engineer";6;"Low";3;"Cat_3";"D"
"2896";"Male";"No";19;"No";"Healthcare";9;"Low";5;"Cat_6";"D"
"2897";"Male";"Yes";81;"Yes";"Executive";1;"High";3;"Cat_6";"C"
"2898";"Female";"No";35;"Yes";"Artist";9;"Low";1;"Cat_6";"B"
"2899";"Male";"Yes";59;"No";"Doctor";0;"Average";2;"Cat_6";"B"
"2900";"Female";"No";32;"No";"Healthcare";1;"Low";5;"Cat_4";"B"
"2903";"Female";"Yes";63;"Yes";"Artist";1;"Low";1;"Cat_2";"C"
"2904";"Female";"No";21;"No";"Healthcare";0;"Low";3;"Cat_4";"D"
"2905";"Female";"Yes";77;"No";"Lawyer";0;"High";3;"Cat_6";"A"
"2906";"Male";"No";36;"Yes";"Artist";2;"Low";1;"Cat_6";"C"
"2907";"Female";"No";22;"No";"Healthcare";0;"Low";5;"Cat_4";"D"
"2908";"Male";"Yes";26;"No";"Executive";5;"High";4;"Cat_6";"D"
"2909";"Male";"Yes";82;"Yes";"Lawyer";7;"Low";1;"Cat_6";"A"
"2910";"Male";"No";18;"No";"Healthcare";2;"Low";4;"Cat_6";"D"
"2911";"Male";"Yes";35;"Yes";"Artist";0;"Average";2;"Cat_6";"C"
"2912";"Male";"Yes";36;"No";"Doctor";0;"Average";2;"Cat_7";"A"
"2913";"Male";"Yes";59;"Yes";"Artist";1;"Low";2;"Cat_6";"A"
"2914";"Male";"Yes";61;"No";"Artist";0;"Average";2;"Cat_6";"C"
"2915";"Female";"No";37;"Yes";"Entertainment";0;"Low";1;"Cat_6";"A"
"2916";"Female";"No";25;"No";"Healthcare";1;"Low";5;"Cat_4";"B"
"2917";"Female";"No";28;"No";"Healthcare";0;"Low";4;"Cat_2";"B"
"2919";"Male";"No";29;"Yes";"Healthcare";0;"Low";4;"Cat_7";"B"
"2920";"Female";"Yes";86;"Yes";"Lawyer";1;"High";2;"Cat_6";"C"
"2921";"Male";"No";45;"Yes";"Artist";0;"Low";2;"Cat_6";"A"
"2922";"Female";"No";33;"No";"Homemaker";9;"Low";1;"Cat_6";"D"
"2925";"Male";"Yes";59;"Yes";"Artist";1;"Average";3;"Cat_6";"C"
